id,annotator_code,combo_id,seed_id,level,class_tag,ratio_type,model_a,model_b,a_existence,a_appearance,a_interaction,b_existence,b_appearance,b_interaction,preference,prompt_ilogical,created_at
c4dd7184-d072-4d1e-af82-b26ace68a669,3,60003,35000,4,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,1,0,0,1,1,A,False,2026-04-20 04:19:32.531767+00:00
c779d7e4-1a3d-4378-9fe5-3ac0602525dc,3,60004,35000,2,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,1,0,1,1,1,B,False,2026-04-20 04:20:04.447381+00:00
a09fd5a4-0f88-4547-8829-22124750e079,3,60009,35002,8,occlusion_interaction,object_heavy,nano_banana_v10,mosaic_v10,1,0,1,0,0,0,A,False,2026-04-20 04:21:27.183064+00:00
90f4b9f3-2553-44e2-b702-6b1f542e4af3,1,60013,35003,8,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,0,1,0,1,B,False,2026-04-20 20:21:36.007951+00:00
caa69123-3d87-44a2-ade0-d3221ea8223d,1,60014,35003,6,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,1,1,0,1,B,False,2026-04-20 20:23:01.874888+00:00
85007d11-b1de-43e0-9787-29a3f7b29df2,1,60015,35003,4,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,1,0,0,1,1,1,B,False,2026-04-20 20:24:26.840254+00:00
6f287111-824f-40d0-9a7f-cb39fe7858d2,1,60016,35003,2,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,1,0,1,0,0,A,False,2026-04-20 20:24:57.995688+00:00
6cc15a89-36b3-49a5-9dae-4df6720b5b60,1,60017,35004,8,occlusion_no_interaction,human_heavy,nano_banana_v10,mosaic_v10,0,0,0,0,0,0,A,False,2026-04-20 20:27:04.545637+00:00
05303749-5839-4e60-951f-d2f5c302897c,1,60018,35004,6,occlusion_no_interaction,human_heavy,nano_banana_v10,mosaic_v10,1,0,0,0,0,0,A,False,2026-04-20 20:27:53.404070+00:00
8e66ebad-5140-4862-8d67-766b15596866,1,60019,35004,4,occlusion_no_interaction,human_heavy,mosaic_v10,nano_banana_v10,0,0,0,1,0,1,B,False,2026-04-20 20:29:05.395042+00:00
5a7f0db8-394b-4eca-b7b0-4d935a12fd09,1,60020,35004,2,occlusion_no_interaction,human_heavy,nano_banana_v10,mosaic_v10,1,1,1,1,0,0,A,False,2026-04-20 20:30:03.885745+00:00
8b000ded-2eb7-49da-a56d-2c6e1cc0a21b,1,60025,35006,8,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,0,1,0,0,B,False,2026-04-20 20:32:08.505785+00:00
7bdba1ad-b143-4a6d-a1c4-28f7c2130c47,1,60026,35006,6,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,0,1,0,1,B,False,2026-04-20 20:33:16.122690+00:00
37aedc63-0fbf-4158-b623-ef00844d23e6,1,60027,35006,4,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,1,1,0,1,B,False,2026-04-20 20:33:48.859858+00:00
4607973f-5406-4813-869b-ae16ab992907,1,60028,35006,2,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,1,0,1,0,1,A,False,2026-04-20 20:34:22.837134+00:00
348ebac0-08a0-445a-9a53-17afe2f82e22,3,60010,35002,6,occlusion_interaction,object_heavy,nano_banana_v10,mosaic_v10,1,1,0,0,0,0,A,False,2026-04-20 21:04:01.364646+00:00
d4da5977-7bb3-4bb5-a56e-f074873444fd,5,60609,35152,8,occlusion_interaction,object_heavy,mosaic_v10,nano_banana_v10,0,0,0,1,1,1,B,True,2026-04-20 21:04:20.956776+00:00
07f47a88-390d-43fc-81d3-ea8177540fb7,2,60301,35075,8,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,0,1,0,0,0,A,False,2026-04-20 21:04:31.770017+00:00
cf9733e6-9072-411e-8f4a-09b4a3fe833b,3,60011,35002,4,occlusion_interaction,object_heavy,mosaic_v10,nano_banana_v10,0,0,0,1,1,1,B,False,2026-04-20 21:04:34.803566+00:00
3041818f-bb4f-4a47-8423-d40e9e46cd22,3,60012,35002,2,occlusion_interaction,object_heavy,mosaic_v10,nano_banana_v10,0,0,0,1,1,1,B,False,2026-04-20 21:04:45.865653+00:00
4792ada2-1f3b-43b0-869a-b1c90bfc9ce8,2,60302,35075,6,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,1,1,0,0,0,A,False,2026-04-20 21:05:10.879574+00:00
87b0901c-f4ae-436c-b476-9d2c8d095b2e,1,60029,35007,8,occlusion_no_interaction,human_heavy,mosaic_v10,nano_banana_v10,0,0,0,0,0,1,B,False,2026-04-20 21:05:28.113311+00:00
07ece157-5979-4e1d-a55b-cb06b142b434,5,60610,35152,6,occlusion_interaction,object_heavy,mosaic_v10,nano_banana_v10,0,0,0,1,0,1,B,False,2026-04-20 21:05:29.071634+00:00
485889bf-72a6-41b1-b2d6-ed02bff8d42f,3,60013,35003,8,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,0,1,0,1,B,False,2026-04-20 21:05:41.081831+00:00
d1a0c2b4-d5e7-43d2-b2d9-cd25f35b4945,2,60303,35075,4,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,1,1,1,1,B,False,2026-04-20 21:05:44.499617+00:00
267b0d4c-bf84-4940-9a77-75e9b1a0c5d9,2,60304,35075,2,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,1,1,1,0,1,A,False,2026-04-20 21:06:02.352116+00:00
48500e7d-dd4a-4a0c-8754-53a0b32a7a4c,5,60611,35152,4,occlusion_interaction,object_heavy,nano_banana_v10,mosaic_v10,1,0,0,0,0,0,A,False,2026-04-20 21:06:18.853795+00:00
e998fa3a-4a4b-4151-a113-04b7b093b01b,3,60014,35003,6,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,1,1,1,1,B,False,2026-04-20 21:06:30.649202+00:00
197f6924-80ad-407a-acb0-3a54d38d911b,2,60313,35078,8,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,0,1,0,0,B,False,2026-04-20 21:07:54.739976+00:00
ad8534c6-bade-4be4-8307-cbbf901b00a0,5,60612,35152,2,occlusion_interaction,object_heavy,nano_banana_v10,mosaic_v10,1,0,1,1,1,0,B,False,2026-04-20 21:07:57.298931+00:00
400ce23e-fddb-4b51-a2b8-18045d90a8f3,3,60015,35003,4,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,1,0,0,1,1,1,B,False,2026-04-20 21:08:02.771005+00:00
1f67fafc-ba59-4b0c-bd09-50e11acaa036,3,60016,35003,2,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,1,0,0,1,0,A,False,2026-04-20 21:08:25.755566+00:00
62e7c420-6835-44a8-bbdd-309ebf0ee32f,2,60314,35078,6,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,0,0,0,0,0,A,False,2026-04-20 21:08:44.188881+00:00
9f2564fb-089c-4f99-ae49-b97ee28ede56,3,60021,35005,8,occlusion_interaction,object_heavy,nano_banana_v10,mosaic_v10,0,0,0,0,0,0,A,False,2026-04-20 21:09:18.096525+00:00
4999c3bf-eb07-4b28-ae0a-cd6900d9cf79,2,60315,35078,4,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,0,0,0,0,1,A,False,2026-04-20 21:09:18.868172+00:00
abe58695-b074-4833-a041-b7b333929c2a,5,60621,35155,8,occlusion_interaction,object_heavy,mosaic_v10,nano_banana_v10,0,0,0,1,0,0,B,False,2026-04-20 21:09:36.812769+00:00
0fbcfff7-5368-42d4-b980-db147843dc4b,2,60316,35078,2,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,1,1,1,0,1,A,False,2026-04-20 21:09:39.196425+00:00
f0722ddd-9cd9-460a-b061-0cde2e182949,3,60022,35005,6,occlusion_interaction,object_heavy,nano_banana_v10,mosaic_v10,1,0,1,0,0,0,A,False,2026-04-20 21:10:15.256444+00:00
6845718c-c59e-4d8a-bf19-66ee39008833,2,60325,35081,8,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,0,1,1,1,B,False,2026-04-20 21:10:27.651556+00:00
e390e55d-342b-4a90-bb88-2771d4953065,5,60622,35155,6,occlusion_interaction,object_heavy,nano_banana_v10,mosaic_v10,1,0,0,0,0,0,A,False,2026-04-20 21:10:42.019685+00:00
5b3c7716-86ef-4fee-bbb8-b6c3b80ba6c4,2,60326,35081,6,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,0,1,0,0,0,A,False,2026-04-20 21:11:01.821796+00:00
9cba4f9e-c83f-4b41-b21b-d2bcba46074c,3,60023,35005,4,occlusion_interaction,object_heavy,mosaic_v10,nano_banana_v10,1,0,0,1,0,0,B,False,2026-04-20 21:11:09.675024+00:00
65916da1-a7ff-4c46-b582-f3595e82ab4c,5,60623,35155,4,occlusion_interaction,object_heavy,nano_banana_v10,mosaic_v10,1,1,1,1,0,1,A,False,2026-04-20 21:11:24.658475+00:00
61705bd1-dfc6-4f48-86e8-017d4f8f02d3,2,60327,35081,4,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,1,1,0,0,B,False,2026-04-20 21:11:29.754051+00:00
ec211b8f-07d3-41c6-8f15-8bf0357af0a6,3,60024,35005,2,occlusion_interaction,object_heavy,nano_banana_v10,mosaic_v10,1,1,1,1,1,0,A,False,2026-04-20 21:11:30.171177+00:00
15bddce3-7048-4f8b-a2d6-d86c9329af77,5,60624,35155,2,occlusion_interaction,object_heavy,nano_banana_v10,mosaic_v10,1,1,1,1,0,1,A,False,2026-04-20 21:11:49.360202+00:00
3971c156-49c0-41ca-856b-21dba1747f3b,3,60025,35006,8,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,0,0,0,0,0,A,False,2026-04-20 21:12:04.898754+00:00
5567e4e9-85e8-43dc-b159-887c14f56b5e,2,60328,35081,2,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,0,1,0,1,0,1,A,False,2026-04-20 21:12:29.730260+00:00
69d0726e-db2a-419c-8c63-306418d9e3b6,5,60633,35158,8,occlusion_interaction,object_heavy,mosaic_v10,nano_banana_v10,0,0,0,1,0,0,B,False,2026-04-20 21:12:47.342559+00:00
cebfa88d-b1d3-499f-ada9-4b3161aac9d8,3,60026,35006,6,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,0,1,0,0,0,A,False,2026-04-20 21:13:02.397749+00:00
b8bab8a2-04ed-43c3-bca7-1d57e55dca6a,2,60337,35084,8,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,1,1,0,0,B,False,2026-04-20 21:13:42.303700+00:00
7283118e-b65b-4dd4-8071-bbf3de083225,5,60634,35158,6,occlusion_interaction,object_heavy,mosaic_v10,nano_banana_v10,0,0,0,1,1,1,B,False,2026-04-20 21:14:03.592652+00:00
5d9f6684-0f4b-4c85-b9c8-b7102799b64c,5,60635,35158,4,occlusion_interaction,object_heavy,nano_banana_v10,mosaic_v10,1,0,1,1,0,0,A,False,2026-04-20 21:14:40.222444+00:00
595c3073-634c-4ece-8db2-add0fd4c3092,5,60636,35158,2,occlusion_interaction,object_heavy,mosaic_v10,nano_banana_v10,1,1,0,1,1,1,B,False,2026-04-20 21:14:55.947886+00:00
e59fdfea-b346-4f3d-ac9e-4ea1e8b4c1be,5,60645,35161,8,occlusion_interaction,object_heavy,nano_banana_v10,mosaic_v10,1,0,0,0,0,1,A,False,2026-04-20 21:16:04.784544+00:00
9feabeee-53b5-4064-ba5a-cae2d1ad1061,5,60646,35161,6,occlusion_interaction,object_heavy,nano_banana_v10,mosaic_v10,1,1,0,0,0,0,A,False,2026-04-20 21:17:09.079768+00:00
3f48ffde-0027-4f42-96bc-9c4e6972fc51,1,60037,35009,8,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,0,0,0,0,B,False,2026-04-20 21:39:28.674836+00:00
2541a8c7-fbb8-4e77-a55b-471a8c5a675d,1,60038,35009,6,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,0,0,0,0,0,A,False,2026-04-20 21:39:59.089891+00:00
5468a569-3be3-4703-bdd1-58081a6165ee,1,60039,35009,4,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,1,0,0,0,0,A,False,2026-04-20 21:40:32.846215+00:00
223debc9-dac4-4c0c-adff-352d5833c399,1,60040,35009,2,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,1,0,0,1,1,1,B,False,2026-04-20 21:40:50.961359+00:00
261fec27-d6a4-41e9-b3be-c9a19cb1c306,1,60041,35010,8,occlusion_no_interaction,human_heavy,mosaic_v10,nano_banana_v10,0,0,0,1,0,0,B,False,2026-04-20 21:41:34.230364+00:00
f1445913-dd4e-4b2b-8d94-18c24c1fbb56,1,60042,35010,6,occlusion_no_interaction,human_heavy,nano_banana_v10,mosaic_v10,1,0,0,0,0,0,A,False,2026-04-20 21:48:35.380835+00:00
cb1d55d9-2c32-4148-8324-1eb0b43da438,1,60043,35010,4,occlusion_no_interaction,human_heavy,mosaic_v10,nano_banana_v10,0,0,1,1,0,1,B,False,2026-04-20 21:49:00.098971+00:00
f89e6d27-da89-4c5a-a1c6-dc00a9f93aa5,1,60044,35010,2,occlusion_no_interaction,human_heavy,mosaic_v10,nano_banana_v10,1,0,0,0,1,0,A,False,2026-04-20 21:49:46.920420+00:00
e8d65e03-5741-4baa-8f62-386d7b77c302,1,60049,35012,8,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,0,1,0,0,1,A,False,2026-04-20 21:50:34.800210+00:00
76443366-46ab-4465-a435-ae28e0bcd7cd,1,60050,35012,6,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,0,0,0,0,1,A,False,2026-04-20 21:51:01.009895+00:00
8103c946-929a-453a-bcb7-0a6dd1f0ec19,1,60051,35012,4,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,1,0,0,0,1,A,False,2026-04-20 21:51:20.197941+00:00
01b9d26b-eaa1-484c-b5c9-666aa417f615,1,60052,35012,2,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,1,1,1,0,1,A,False,2026-04-20 21:51:32.053230+00:00
85a4f7cd-189f-4abb-8dc3-d1fa9663c0a8,1,60061,35015,8,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,1,1,0,1,B,False,2026-04-20 21:53:33.114474+00:00
655c160d-8874-4d4a-9d20-317096370700,1,60062,35015,6,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,1,1,0,1,B,False,2026-04-20 21:54:05.118145+00:00
5e2c8ecf-b45f-4001-8f55-2245f6f140ba,1,60063,35015,4,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,1,0,1,1,1,0,B,False,2026-04-20 21:54:41.401837+00:00
de629ce9-27a9-4b94-b827-dbd897d4fede,1,60064,35015,2,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,1,0,1,1,1,1,B,False,2026-04-20 21:54:55.866232+00:00
43738e63-8ed2-4c09-b77f-8f93976724c4,1,60065,35016,8,occlusion_no_interaction,human_heavy,mosaic_v10,nano_banana_v10,0,0,1,1,0,0,B,False,2026-04-20 22:01:25.806072+00:00
85edd393-d421-434c-afb9-8b94fd0ee39c,1,60066,35016,6,occlusion_no_interaction,human_heavy,nano_banana_v10,mosaic_v10,1,0,0,0,0,0,A,False,2026-04-20 22:02:03.942193+00:00
77bd1e7f-cd02-4c46-8e8c-fa82ed04a506,1,60067,35016,4,occlusion_no_interaction,human_heavy,nano_banana_v10,mosaic_v10,1,1,0,0,0,0,A,False,2026-04-20 22:02:47.345045+00:00
1d4b2add-9c37-4cdc-8e30-52678b79deec,1,60068,35016,2,occlusion_no_interaction,human_heavy,mosaic_v10,nano_banana_v10,0,0,0,1,1,1,B,False,2026-04-20 22:03:07.413698+00:00
21d89da4-f39e-43ab-827c-d5394b1e919c,1,60073,35018,8,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,0,0,0,0,B,False,2026-04-20 22:04:54.994972+00:00
d48e1740-adbd-41a8-91e7-a90318d5a691,1,60074,35018,6,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,0,1,0,1,B,False,2026-04-20 22:05:29.505257+00:00
48d2537f-521a-41f5-8d6e-4a67e4d753ec,1,60075,35018,4,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,0,1,0,1,B,False,2026-04-20 22:06:14.957761+00:00
759a4937-5816-45b7-be9e-4af524cf4d76,1,60076,35018,2,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,1,1,0,1,0,A,False,2026-04-20 22:06:29.381836+00:00
44527351-d912-4048-9c23-fe5a6cc840e8,1,60085,35021,8,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,0,1,0,1,B,False,2026-04-20 22:07:15.610821+00:00
9f38982e-b4c2-4e78-92e2-ee47a61e8d23,1,60086,35021,6,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,0,1,0,1,B,False,2026-04-20 22:08:36.118391+00:00
128fa266-d01c-4b41-ad14-5ef541317b18,1,60087,35021,4,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,0,1,0,1,B,False,2026-04-20 22:09:09.331925+00:00
d109c4cb-6dea-4baa-8de6-986425ed9324,1,60088,35021,2,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,1,1,1,1,B,False,2026-04-20 22:09:26.937267+00:00
ef6d1f21-46e2-4086-9228-585dff6bb3c6,1,60097,35024,8,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,0,1,0,1,B,False,2026-04-20 22:10:20.205813+00:00
78262e21-4db0-4a7b-91eb-6e8f7f52e832,1,60098,35024,6,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,0,1,0,0,0,A,False,2026-04-20 22:10:46.247687+00:00
d1b7c345-917e-416d-b2cb-c2c2a9448f28,1,60099,35024,4,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,0,1,0,0,0,A,False,2026-04-20 22:11:07.168482+00:00
ac10d1bf-b8b4-4177-b310-e379f493e689,1,60100,35024,2,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,1,0,1,0,0,A,False,2026-04-20 22:11:21.770610+00:00
34aa956b-460e-4229-8c66-b956f64594be,1,60101,35025,8,occlusion_no_interaction,human_heavy,mosaic_v10,nano_banana_v10,0,0,0,1,0,0,B,False,2026-04-20 22:14:06.163444+00:00
c2b7a8fe-33a1-479e-a612-300cddcf89b2,1,60102,35025,6,occlusion_no_interaction,human_heavy,mosaic_v10,nano_banana_v10,0,0,0,1,0,0,B,False,2026-04-20 22:15:00.812920+00:00
4b0273be-8be4-4676-94b5-0017ba1f5973,1,60103,35025,4,occlusion_no_interaction,human_heavy,mosaic_v10,nano_banana_v10,0,0,1,1,0,1,B,False,2026-04-20 22:15:41.259192+00:00
1aa7f435-2614-4e6a-948c-d23e160a66a6,1,60104,35025,2,occlusion_no_interaction,human_heavy,mosaic_v10,nano_banana_v10,0,1,0,1,1,1,B,False,2026-04-20 22:16:05.110926+00:00
9eeacf83-9c1f-4566-a858-f879b9ad04e2,1,60109,35027,8,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,0,1,0,0,0,A,False,2026-04-20 22:16:43.972899+00:00
48fc5006-68ef-4bda-8241-b23290575807,1,60110,35027,6,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,0,1,0,1,B,False,2026-04-20 22:17:21.874011+00:00
e463d0ab-c2cc-4812-92d6-f08dbe3c663d,1,60111,35027,4,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,0,1,1,0,1,A,False,2026-04-20 22:17:46.630476+00:00
4d5aaebc-4e10-4c2f-b2a8-412b169a013c,1,60112,35027,2,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,1,1,1,1,1,1,B,False,2026-04-20 22:18:17.305449+00:00
bb3f0d37-415e-47c4-aed0-bf4481faa3ef,1,60113,35028,8,occlusion_no_interaction,human_heavy,mosaic_v10,nano_banana_v10,0,0,1,1,0,0,B,False,2026-04-20 22:19:00.722568+00:00
73396112-c71f-4bf8-b190-4412f0c89151,1,60114,35028,6,occlusion_no_interaction,human_heavy,mosaic_v10,nano_banana_v10,0,0,0,1,0,0,B,False,2026-04-20 22:19:34.392676+00:00
9bf7eae8-9420-48c2-829b-36069f5becf5,1,60115,35028,4,occlusion_no_interaction,human_heavy,mosaic_v10,nano_banana_v10,0,0,1,1,1,1,B,False,2026-04-20 22:20:30.978332+00:00
125f26ad-b6f1-4f63-99b0-943ade71bafd,1,60116,35028,2,occlusion_no_interaction,human_heavy,mosaic_v10,nano_banana_v10,1,0,0,1,0,1,B,False,2026-04-20 22:20:54.802999+00:00
4828abc1-e71a-4c48-8531-86ea56d8b821,1,60121,35030,8,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,0,1,0,0,0,A,False,2026-04-20 22:21:46.654206+00:00
d0e5e135-c010-4f3f-bad8-c21e46db4854,1,60122,35030,6,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,1,1,0,1,B,False,2026-04-20 22:22:14.716740+00:00
d8635cf1-cfa8-4c1e-a5df-8b6a5991b6c7,1,60123,35030,4,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,0,0,1,0,0,1,A,False,2026-04-20 22:22:44.354415+00:00
b404d332-54f7-4216-9e7d-73f13f27d3c4,1,60124,35030,2,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,1,1,1,0,1,A,False,2026-04-20 22:22:56.231454+00:00
9b84a143-37b4-4e71-a415-2d265f83bb4c,1,60149,35037,8,occlusion_no_interaction,human_heavy,nano_banana_v10,mosaic_v10,1,1,0,0,0,0,A,False,2026-04-20 22:29:46.969397+00:00
31db1c09-df1a-4033-a161-d4e8df91f4cd,1,60150,35037,6,occlusion_no_interaction,human_heavy,mosaic_v10,nano_banana_v10,0,0,0,1,0,1,B,False,2026-04-20 22:30:31.217759+00:00
e3917396-f1af-48b0-bc40-8f02ed8e9955,1,60151,35037,4,occlusion_no_interaction,human_heavy,mosaic_v10,nano_banana_v10,0,0,1,0,1,1,B,False,2026-04-20 22:30:54.820482+00:00
d12089bb-d0c9-48f1-97c4-713809e84451,1,60152,35037,2,occlusion_no_interaction,human_heavy,nano_banana_v10,mosaic_v10,1,1,1,0,0,0,A,False,2026-04-20 22:31:10.752364+00:00
e72b688c-6821-404d-a378-2af720ed62b2,1,60157,35039,8,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,0,0,0,0,0,A,False,2026-04-20 22:31:43.453648+00:00
65ff3c4e-b524-4c25-b191-17461fd779de,1,60158,35039,6,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,0,1,0,0,B,False,2026-04-20 22:32:16.003193+00:00
b5c6a57b-89f4-4690-b74f-c874ca65097d,1,60159,35039,4,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,1,1,0,1,B,False,2026-04-20 22:32:36.188222+00:00
d146a9fc-4876-4e46-9c95-1b82cb4e59f5,1,60160,35039,2,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,1,1,1,1,B,False,2026-04-20 22:32:49.238410+00:00
2e1135c9-f87b-4c6c-bb14-153cece4197d,1,60161,35040,8,occlusion_no_interaction,human_heavy,nano_banana_v10,mosaic_v10,0,0,0,0,0,0,A,False,2026-04-20 22:33:25.085742+00:00
9fa16368-d1bb-4c09-862a-56569bf1e85a,1,60162,35040,6,occlusion_no_interaction,human_heavy,mosaic_v10,nano_banana_v10,0,0,0,1,0,0,B,False,2026-04-20 22:34:11.626121+00:00
f2c3e6da-ddb8-4397-bdb9-73b824254a51,1,60163,35040,4,occlusion_no_interaction,human_heavy,nano_banana_v10,mosaic_v10,1,0,0,0,0,1,A,False,2026-04-20 22:35:19.609993+00:00
7746f69c-b963-445f-990b-b229cd2f7d66,1,60164,35040,2,occlusion_no_interaction,human_heavy,nano_banana_v10,mosaic_v10,0,1,0,0,0,0,A,False,2026-04-20 22:35:39.912504+00:00
54f9ef10-3c69-4b90-81e4-30514a5ef142,1,60169,35042,8,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,0,0,0,0,B,False,2026-04-20 22:36:12.045023+00:00
f38fa701-1e39-4018-8830-3936c2dc389f,1,60170,35042,6,no_interaction_no_occlusion,balanced,mosaic_v10,nano_banana_v10,0,0,0,1,0,0,B,False,2026-04-20 22:37:49.197244+00:00
73b88b44-4725-498e-a555-974f5a891eda,1,60171,35042,4,no_interaction_no_occlusion,balanced,nano_banana_v10,mosaic_v10,1,1,0,0,0,1,A,False,2026-04-20 22:38:11.639777+00:00
