id,annotator_code,combo_id,base_id,seed_id,level,class_tag,ratio_type,matchup_key,model_a,model_b,a_existence,a_appearance,a_interaction,b_existence,b_appearance,b_interaction,preference,prompt_ilogical,created_at
86c07b13-25c6-4168-b990-b4aca81009ec,1,pair02_193,193,20048,8,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,1,0,0,0,0,A,False,2026-04-27 22:32:46.371773+00:00
200e4e3d-4f62-4e68-ad4a-48d7eb220e92,1,pair02_194,194,20048,6,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,0,0,0,1,1,1,B,False,2026-04-27 22:33:35.113536+00:00
9d9318aa-615a-4b8c-9137-8f1c7d5f134e,1,pair02_195,195,20048,4,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,0,0,0,0,1,1,B,False,2026-04-27 22:33:59.660854+00:00
4ac6ab7f-6080-4da3-8404-9fa79e2805d6,1,pair02_196,196,20048,2,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,1,1,1,0,1,A,False,2026-04-27 22:34:10.153001+00:00
f6c40507-dec3-471f-ab83-4443dcdc0f83,1,pair01_585,585,20146,8,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,1,0,0,0,1,1,B,False,2026-04-27 22:34:47.322635+00:00
a2a876eb-7081-49d8-9f2b-0af55f03ae0a,1,pair01_586,586,20146,6,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,0,0,1,0,1,1,B,False,2026-04-27 22:35:18.290684+00:00
cb7f48be-0cc1-457d-8140-b377227e8c45,1,pair01_587,587,20146,4,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,0,1,0,1,A,False,2026-04-27 22:35:55.374779+00:00
26276da2-425e-4cc0-ae41-910c067e06da,1,pair01_588,588,20146,2,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,1,1,0,1,A,False,2026-04-27 22:36:04.811812+00:00
bdb7a011-eb54-4958-9e02-3dd95d1b9e24,1,pair02_585,585,20146,8,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,0,0,0,1,1,0,B,False,2026-04-27 22:36:32.213581+00:00
0faaa643-e240-4148-9bd3-640440602b8f,1,pair02_586,586,20146,6,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,0,0,0,0,0,A,False,2026-04-28 01:33:49.261244+00:00
751c5325-c463-48a9-be4d-14eeef7eb8b4,1,pair02_587,587,20146,4,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,1,0,0,1,1,0,B,False,2026-04-28 01:34:29.089268+00:00
14bdf534-24a1-457f-97b2-53b18beada35,1,pair02_588,588,20146,2,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,1,1,1,0,1,A,False,2026-04-28 01:34:43.210955+00:00
0e94245f-fe66-4166-a8aa-eae46c6f9243,1,pair01_673,673,20168,8,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,0,1,0,0,0,0,A,False,2026-04-28 01:35:33.003451+00:00
0fb0d83e-f59d-4fa5-bb8c-ba11b9789d05,1,pair01_674,674,20168,6,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,1,0,0,0,1,1,B,False,2026-04-28 01:42:28.490034+00:00
9f13c991-2a4c-40a4-b797-a12a3646a3c8,1,pair01_675,675,20168,4,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,1,1,0,1,A,False,2026-04-28 01:42:48.039324+00:00
4b4420ab-ff89-4adc-932c-53ecc3c58a69,1,pair01_676,676,20168,2,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,1,1,0,1,A,False,2026-04-28 01:43:07.257073+00:00
f48dd59b-f69b-44ee-a62c-911687b9fdb6,1,pair02_673,673,20168,8,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,0,0,0,1,0,1,B,False,2026-04-28 01:43:35.410002+00:00
331228ba-4728-4077-b0b6-be43b06b76f3,1,pair02_674,674,20168,6,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,0,0,0,1,1,0,B,False,2026-04-28 01:44:07.938904+00:00
2be553f4-f38a-475e-bc31-8564f915efeb,1,pair02_675,675,20168,4,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,1,1,0,0,1,A,False,2026-04-28 01:44:53.225461+00:00
01d0c37d-c7e6-4411-a3f3-f276407da17e,1,pair02_676,676,20168,2,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,1,0,0,1,1,0,B,False,2026-04-28 01:45:05.261863+00:00
b824c2d9-9998-4eb8-8bd2-5be8ef80b320,1,pair01_881,881,20220,8,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,0,1,0,0,0,0,A,False,2026-04-28 01:45:49.470634+00:00
7d28a1e4-8100-4376-bab5-22ecaf839361,1,pair01_882,882,20220,6,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,1,1,0,0,A,False,2026-04-28 01:46:25.976707+00:00
90ed6641-d07d-4be6-a69e-2958c08b08a3,1,pair01_883,883,20220,4,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,1,1,1,1,1,1,B,False,2026-04-28 01:46:44.026939+00:00
13498294-41e7-4e24-a004-ad0a751be5ca,1,pair01_884,884,20220,2,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,0,1,1,1,1,1,B,False,2026-04-28 01:46:55.882766+00:00
4aae15bb-5485-44b6-8530-f4edbf866071,1,pair02_881,881,20220,8,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,1,0,0,0,1,A,False,2026-04-28 01:47:25.594341+00:00
df1dbb59-7cb4-4ba5-9e48-b248226aeb3c,1,pair02_882,882,20220,6,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,0,0,0,1,1,1,B,False,2026-04-28 01:47:52.670168+00:00
b8b77133-ecf3-48df-a44e-d85b1fbab841,1,pair02_883,883,20220,4,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,0,0,1,1,1,1,B,False,2026-04-28 01:48:11.367857+00:00
a9c32a3f-781a-4369-b2e0-147610e7dec9,1,pair02_884,884,20220,2,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,1,1,1,0,0,A,False,2026-04-28 01:48:20.409921+00:00
82ac80a8-b5a5-45df-bce1-548a22071ed1,1,pair01_913,913,20228,8,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,0,1,1,1,0,0,A,False,2026-04-28 01:49:06.747199+00:00
e7a4b7cb-178d-4108-84df-c497c21b0555,1,pair01_914,914,20228,6,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,0,1,1,0,0,1,A,False,2026-04-28 01:49:34.859160+00:00
5641ffb6-01e8-4af9-9835-db0642628403,1,pair01_915,915,20228,4,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,1,0,1,1,1,1,B,False,2026-04-28 01:49:55.567684+00:00
cfa6c3cd-47f1-476c-b49a-a7b90ec6d999,1,pair01_916,916,20228,2,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,1,1,1,1,B,False,2026-04-28 01:50:07.887771+00:00
11d4394e-993b-49dd-9a5e-da754e463625,1,pair02_913,913,20228,8,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,0,1,1,0,0,0,A,False,2026-04-28 01:50:35.408039+00:00
a17f69bd-ba4e-4150-957d-2f6feb85c970,1,pair02_914,914,20228,6,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,1,1,0,0,0,A,False,2026-04-28 01:50:52.950574+00:00
82ffa3fa-e954-4103-8200-a468691ee062,1,pair02_915,915,20228,4,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,1,1,0,0,1,A,False,2026-04-28 01:51:04.994571+00:00
6f42a1b9-99d9-4972-b7e0-41ac14670cbf,1,pair02_916,916,20228,2,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,1,1,1,1,1,1,B,False,2026-04-28 01:51:14.337479+00:00
7ffe7d11-abc2-4b01-9710-605ba8898fd6,1,pair01_921,921,20230,8,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,0,1,0,1,0,0,A,False,2026-04-28 01:52:02.586612+00:00
cb7e2539-9d65-4933-90f1-b4be45067ff1,1,pair01_922,922,20230,6,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,0,1,1,1,0,1,B,False,2026-04-28 01:52:34.725479+00:00
cc4d7f71-aa16-413b-95b7-f63fc8d15425,1,pair01_923,923,20230,4,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,1,1,1,1,B,False,2026-04-28 01:53:00.485693+00:00
67fc7276-179b-4ab0-a375-02c272f797d5,1,pair01_924,924,20230,2,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,1,1,1,1,A,False,2026-04-28 01:53:16.129367+00:00
2c6e5b59-b33b-4c68-8291-76d5fa6d7f59,1,pair02_921,921,20230,8,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,0,1,0,0,0,0,A,False,2026-04-28 01:53:36.072556+00:00
2857fee4-2f36-459e-adbf-6e6ffe7d4d59,1,pair02_922,922,20230,6,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,1,0,0,0,0,A,False,2026-04-28 01:54:00.681601+00:00
330d25a5-2ada-41d1-b9b3-e9fa2492f6e3,1,pair02_923,923,20230,4,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,0,0,0,1,1,0,B,False,2026-04-28 01:54:14.386887+00:00
87128ed8-29c7-4191-9ff0-a557414d5b4d,1,pair02_924,924,20230,2,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,1,0,1,1,1,1,B,False,2026-04-28 01:54:24.458413+00:00
90941ca5-4e54-4f6a-83bf-8a1f61faf5de,1,pair01_1037,1037,20259,8,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,0,1,0,0,0,0,A,False,2026-04-28 01:54:50.528920+00:00
c328694e-6bb8-4767-abae-54634ce35e09,1,pair01_1038,1038,20259,6,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,0,1,0,0,A,False,2026-04-28 01:55:04.661159+00:00
134845ba-c4cd-4229-a922-ef8f15b6910e,1,pair01_1039,1039,20259,4,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,1,0,1,1,1,0,B,False,2026-04-28 01:55:19.886764+00:00
9b6ad7f3-03ea-46af-a17b-2e351eb0bc45,1,pair01_1040,1040,20259,2,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,1,1,1,1,B,False,2026-04-28 01:55:45.047353+00:00
78aa358e-9c4c-43a1-b559-7ab78af1a9bc,1,pair02_1037,1037,20259,8,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,0,0,0,1,0,0,B,False,2026-04-28 01:56:07.235587+00:00
95d916c2-0353-42c1-8d4a-579e2bb0d7dd,1,pair02_1038,1038,20259,6,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,0,1,0,0,0,A,False,2026-04-28 01:56:27.476871+00:00
4d1e01e2-8f59-4e34-b556-74e65dfb729c,1,pair02_1039,1039,20259,4,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,0,0,1,1,0,1,B,False,2026-04-28 01:56:40.972505+00:00
f4668176-cf26-46f0-8ceb-0582a3f863a1,1,pair02_1040,1040,20259,2,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,0,0,0,1,1,1,B,False,2026-04-28 01:56:55.847228+00:00
fc2ac5fb-9e05-45b2-998c-20a8bbb7e8c7,1,pair01_1373,1373,20344,8,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,0,1,0,1,0,0,A,False,2026-04-28 01:58:16.737131+00:00
72800abb-d7ae-49c6-ac3c-a7bbb4e9486f,1,pair01_1374,1374,20344,6,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,1,0,0,1,1,1,B,False,2026-04-28 01:58:44.702097+00:00
c80cbf69-aae9-4899-a45e-d5b1a4461036,1,pair01_1375,1375,20344,4,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,1,0,1,1,A,False,2026-04-28 01:59:03.072680+00:00
6cfdc0ef-dba7-44f4-ab07-1d97e58d2851,1,pair01_1376,1376,20344,2,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,0,1,1,1,1,1,B,False,2026-04-28 01:59:13.156264+00:00
7f767f5a-d3b2-4a2d-acdc-0e3f2d4f93ee,1,pair02_1373,1373,20344,8,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,1,0,0,1,1,0,B,False,2026-04-28 01:59:32.618224+00:00
747f7630-cc8a-4bbc-a1dc-8f09ede06a85,1,pair02_1374,1374,20344,6,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,0,0,0,1,1,0,B,False,2026-04-28 01:59:44.866219+00:00
327d5e0a-5609-452d-8fc3-feb4fe409a21,1,pair02_1375,1375,20344,4,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,1,0,0,1,1,0,B,False,2026-04-28 01:59:59.699489+00:00
f2f1ebd1-bab1-4adb-9856-ff53f3d1461b,1,pair02_1376,1376,20344,2,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,1,0,1,1,0,B,False,2026-04-28 02:00:10.515313+00:00
a4527ab7-558f-4dad-b156-5f156a0940bd,1,pair01_1461,1461,20367,8,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,0,0,0,0,A,False,2026-04-28 02:00:39.284671+00:00
222887b5-bdaf-4ac2-bcb8-4f7c8ee21046,1,pair01_1462,1462,20367,6,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,1,1,0,1,A,False,2026-04-28 02:00:52.836048+00:00
840ad53e-75be-4950-8568-958ffd2c511e,1,pair01_1463,1463,20367,4,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,1,1,1,1,B,False,2026-04-28 02:01:06.395114+00:00
b55ba1ca-701d-409a-9cdc-283c37daca6c,1,pair01_1464,1464,20367,2,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,1,1,1,1,A,False,2026-04-28 02:01:15.780294+00:00
523ec211-9b3d-43b3-aea7-23f0081b1011,1,pair02_1461,1461,20367,8,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,0,0,0,1,1,0,B,False,2026-04-28 02:01:36.950499+00:00
ba907829-9f36-4e2c-abff-38843b9d0f42,1,pair02_1462,1462,20367,6,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,0,1,0,0,0,A,False,2026-04-28 02:01:53.455535+00:00
4a996691-de37-4dad-932f-5703d8fca0f5,1,pair02_1463,1463,20367,4,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,0,1,1,0,0,A,False,2026-04-28 02:02:08.228620+00:00
651bc405-4857-4d2d-bd4b-07208a44cb96,1,pair02_1464,1464,20367,2,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,1,0,1,0,1,1,A,False,2026-04-28 02:02:30.245070+00:00
e8e132c1-b885-4bab-9d1a-68e8f497ee94,1,pair01_1553,1553,20390,8,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,0,1,0,0,0,0,A,False,2026-04-28 02:02:56.118661+00:00
53818ae1-9a70-495d-873c-bbfaa5ba04bb,1,pair01_1554,1554,20390,6,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,0,1,1,1,B,False,2026-04-28 02:04:43.706760+00:00
c5cd9573-cea6-453d-988e-fff0706a6cc1,1,pair01_1555,1555,20390,4,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,1,0,0,1,1,0,B,False,2026-04-28 02:04:56.964034+00:00
de5291bc-ef05-48f4-a2a1-72419bb8f5f2,1,pair01_1556,1556,20390,2,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,1,1,1,1,A,False,2026-04-28 02:05:25.785140+00:00
b0e17bca-f7af-4da7-87ae-b40824d5f417,1,pair02_1553,1553,20390,8,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,0,0,0,0,1,0,B,False,2026-04-28 02:05:40.809392+00:00
ef22a1d8-5786-456d-8af2-f302256a0d94,1,pair02_1554,1554,20390,6,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,0,0,0,1,1,0,B,False,2026-04-28 02:06:00.506745+00:00
1fad132b-02a2-46be-8f77-d97b86de7832,1,pair02_1555,1555,20390,4,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,1,0,1,0,0,A,False,2026-04-28 02:06:15.940445+00:00
c1942f4e-dd40-4c2d-935c-8c6bf377e720,1,pair02_1556,1556,20390,2,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,1,1,0,1,1,1,B,False,2026-04-28 02:06:28.887340+00:00
d6a3706a-f799-48d6-a91c-e65fee389436,1,pair01_1857,1857,20468,8,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,1,0,1,0,1,0,B,False,2026-04-28 02:07:15.985387+00:00
801c6821-b140-4412-8730-acff0f6face8,1,pair01_1858,1858,20468,6,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,0,1,0,0,A,False,2026-04-28 02:07:50.891384+00:00
032db8ac-7369-47ff-a836-384e97038633,1,pair01_1859,1859,20468,4,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,1,1,1,1,A,False,2026-04-28 02:08:03.385381+00:00
d9515753-590d-49b7-86e3-926af6c606a0,1,pair01_1860,1860,20468,2,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,1,1,1,1,1,1,B,False,2026-04-28 02:08:14.613946+00:00
fb06fce0-1345-4285-9d5b-0a046e7837f7,1,pair02_1857,1857,20468,8,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,0,0,0,1,1,0,B,False,2026-04-28 02:08:44.364160+00:00
aabadec7-ccee-4938-801d-fc1f77a0be35,1,pair02_1858,1858,20468,6,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,1,0,0,0,0,A,False,2026-04-28 02:09:05.982823+00:00
5de35322-83f2-47c3-ac4e-d4716091f4f9,1,pair02_1859,1859,20468,4,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,1,0,0,1,1,0,B,False,2026-04-28 02:09:21.287207+00:00
d9eb3d89-0c80-47df-890b-129e4783fe8f,1,pair02_1860,1860,20468,2,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,1,1,1,0,0,A,False,2026-04-28 02:09:42.862145+00:00
0a161739-c39b-4a67-86ba-2e40767ada9a,1,pair01_2309,2309,20582,8,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,0,1,0,1,0,1,A,False,2026-04-28 02:10:23.692420+00:00
d89da47a-b5a0-479d-9d9c-27104213d1b1,1,pair01_2310,2310,20582,6,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,0,1,0,1,B,False,2026-04-28 02:10:54.589403+00:00
b1e9f645-80cd-4cb8-bec3-c261ba8b4205,1,pair01_2311,2311,20582,4,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,0,0,1,1,1,0,B,False,2026-04-28 02:11:13.285342+00:00
e0b4f056-1571-4218-90df-1650eb764da1,1,pair01_2312,2312,20582,2,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,1,1,1,1,1,1,A,False,2026-04-28 02:11:24.655661+00:00
bdd2f849-fe59-4d71-bcfd-f40a263f9d1a,1,pair02_2309,2309,20582,8,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,1,0,0,0,0,A,False,2026-04-28 02:11:42.640804+00:00
08bc435f-fc35-40d5-8e84-63b22fae93f5,1,pair02_2310,2310,20582,6,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,0,0,0,1,1,0,B,False,2026-04-28 02:11:54.800032+00:00
5c041ba4-983b-494d-89d0-6c6a17f9e7f6,1,pair02_2311,2311,20582,4,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,1,0,0,0,0,A,False,2026-04-28 02:12:09.292879+00:00
b28e1616-af2c-45b9-9116-3c9b585221b0,1,pair02_2312,2312,20582,2,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,1,1,1,1,0,A,False,2026-04-28 02:12:20.486553+00:00
111109d4-3f0d-4bfc-a9c7-818ba26143c2,1,pair01_2505,2505,20633,8,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,1,0,0,0,A,False,2026-04-28 02:13:10.131661+00:00
a3eb9da9-6d71-4d7e-8f33-e84020bf68d9,1,pair01_2506,2506,20633,6,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,0,0,1,1,1,1,B,False,2026-04-28 02:13:28.922511+00:00
da099a0a-a3ee-4234-87e7-2ff6e77b2321,1,pair01_2507,2507,20633,4,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,1,0,1,1,1,1,B,False,2026-04-28 02:13:42.372746+00:00
eba4d141-8f39-4f6a-abe1-1b5993b60be4,1,pair01_2508,2508,20633,2,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,1,0,0,1,1,1,B,False,2026-04-28 02:13:50.115436+00:00
17764b78-84f8-4d6a-904f-c4de80311ce7,1,pair02_2505,2505,20633,8,no_interaction_no_occlusion,balanced,pair02,glm,seedream_4_5,0,0,0,1,1,1,B,False,2026-04-28 02:14:07.975025+00:00
2a05b56b-59ae-433c-b675-f6c287cc175c,1,pair02_2506,2506,20633,6,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,1,1,0,0,0,A,False,2026-04-28 02:14:23.240626+00:00
9c782a02-ce61-4763-b4a5-1cbf508eefe5,1,pair02_2507,2507,20633,4,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,1,1,0,0,0,A,False,2026-04-28 02:14:36.401671+00:00
3f5057cc-684c-4a47-8298-0221ad613fee,1,pair02_2508,2508,20633,2,no_interaction_no_occlusion,balanced,pair02,seedream_4_5,glm,1,1,1,1,1,0,A,False,2026-04-28 02:14:47.916506+00:00
44337bac-4584-408e-9688-5ef8f4240790,1,pair01_2717,2717,20688,8,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,0,0,0,0,1,0,B,False,2026-04-28 02:15:08.804032+00:00
ace3c7b3-2c44-4561-8d49-72542e85e6a5,1,pair01_2718,2718,20688,6,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,0,0,0,1,1,1,B,False,2026-04-28 02:15:29.857071+00:00
dc8ffb43-06b0-4497-98a8-649c0181f940,1,pair01_2719,2719,20688,4,no_interaction_no_occlusion,balanced,pair01,gpt_image_1_5,flux2_klein_9b_kv,1,1,0,1,0,0,A,False,2026-04-28 02:15:57.925578+00:00
c2c155c6-e117-475f-8a85-7a2e87c62c18,1,pair01_2720,2720,20688,2,no_interaction_no_occlusion,balanced,pair01,flux2_klein_9b_kv,gpt_image_1_5,1,0,0,1,1,0,B,False,2026-04-28 02:16:17.458700+00:00
